country,year,co2_emissions
Equatorial Guinea,1994,36.67
Greece,1994,78363.79
Grenada,1994,165.015
Greenland,1994,506.046
Guatemala,1994,6838.955
Guam,1994,
Guyana,1994,1334.788
High income,1994,12251534.4463261
"Hong Kong SAR, China",1994,31429.857
Honduras,1994,3336.97
Croatia,1994,16875.534
Haiti,1994,300.694
Hungary,1994,58066.945
Indonesia,1994,221413.46
Isle of Man,1994,
India,1994,864931.623
Ireland,1994,32691.305
"Iran, Islamic Rep.",1994,296744.641
Iraq,1994,75045.155
Iceland,1994,2009.516
Israel,1994,47120.95
Italy,1994,412163.466
Jamaica,1994,8632.118
Jordan,1994,13633.906
Japan,1994,1174169.733
Kazakhstan,1994,199488.467
Kenya,1994,6556.596
Kyrgyz Republic,1994,6061.551
Cambodia,1994,539.049
Kiribati,1994,22.002
St. Kitts and Nevis,1994,88.008
"Korea, Rep.",1994,340352.605
Kosovo,1994,
Kuwait,1994,34436.797
Latin America & Caribbean,1994,1104848.765
Lao PDR,1994,300.694
Lebanon,1994,12742.825
Liberia,1994,319.029
Libya,1994,41862.472
St. Lucia,1994,264.024
Low income,1994,342353.550233243
Liechtenstein,1994,
Sri Lanka,1994,5408.825
Lower middle income,1994,2249929.08954816
Low & middle income,1994,10267189.5946147
Lesotho,1994,
Lithuania,1994,17359.578
Luxembourg,1994,10219.929
Latvia,1994,11268.691
"Macao SAR, China",1994,1283.45
St. Martin (French part),1994,
Morocco,1994,29640.361
Monaco,1994,
Moldova,1994,12090.099
Madagascar,1994,1316.453
Maldives,1994,220.02
Mexico,1994,362424.278
Marshall Islands,1994,66.006
Middle income,1994,9925277.49013368
"Macedonia, FYR",1994,10469.285
Mali,1994,462.042
Malta,1994,2658.575
Myanmar,1994,6244.901
Middle East & North Africa,1994,717998.504887652
Montenegro,1994,
Mongolia,1994,7961.057
Northern Mariana Islands,1994,
Mozambique,1994,1070.764
Mauritania,1994,3124.284
Mauritius,1994,1624.481
Malawi,1994,718.732
Malaysia,1994,94010.879
Mayotte,1994,
Namibia,1994,29.336
New Caledonia,1994,1723.49
Niger,1994,872.746
Nigeria,1994,46658.908
Nicaragua,1994,2555.899
Niue,1994,3.667
Netherlands,1994,172745.036
Norway,1994,29247.992
Nepal,1994,1697.821
Nauru,1994,135.679
New Zealand,1994,26439.07
Oman,1994,15269.388
Pakistan,1994,84839.712
Panama,1994,4781.768
Peru,1994,23230.445
Philippines,1994,56270.115
Palau,1994,110.01
Papua New Guinea,1994,2181.865
Poland,1994,336161.224
Puerto Rico,1994,
"Korea, Dem. Rep.",1994,259641.935
Portugal,1994,48767.433
Paraguay,1994,3498.318
French Polynesia,1994,568.385
Qatar,1994,30223.414
Romania,1994,116808.618
Russian Federation,1994,1752998.349
Rwanda,1994,619.723
South Asia,1994,977600.198
Saudi Arabia,1994,310616.902
Sudan,1994,4444.404
Senegal,1994,3901.688
Singapore,1994,65367.942
Small island developing states,1994,205721.799699016
Solomon Islands,1994,154.014
Sierra Leone,1994,583.053
El Salvador,1994,4429.736
San Marino,1994,
Somalia,1994,11.001
Serbia,1994,
Sub-Saharan Africa,1994,497102.735925419
Sao Tome and Principe,1994,73.34
Suriname,1994,2163.53
Slovak Republic,1994,40351.668
Slovenia,1994,11257.69
Sweden,1994,56435.13
Swaziland,1994,484.044
Sint Maarten (Dutch part),1994,
Seychelles,1994,187.017
Syrian Arab Republic,1994,48532.745
Turks and Caicos Islands,1994,
Chad,1994,102.676
Togo,1994,832.409
Thailand,1994,158278.721
Tajikistan,1994,2354.214
Turkmenistan,1994,33476.043
Timor-Leste,1994,
Tonga,1994,106.343
Trinidad and Tobago,1994,19853.138
Tunisia,1994,15940.449
Turkey,1994,161659.695
Tuvalu,1994,
Tanzania,1994,2445.889
Uganda,1994,744.401
Ukraine,1994,447010.967
Upper middle income,1994,7675342.97968241
Uruguay,1994,4066.703
United States,1994,5227176.488
Uzbekistan,1994,110981.755
St. Vincent and the Grenadines,1994,121.011
"Venezuela, RB",1994,129947.479
Virgin Islands (U.S.),1994,
Vietnam,1994,26303.391
Vanuatu,1994,66.006
West Bank and Gaza,1994,
World,1994,22896336.0
Samoa,1994,121.011
"Yemen, Rep.",1994,11367.7
South Africa,1994,358929.627
"Congo, Dem. Rep.",1994,2478.892
Zambia,1994,2420.22
Zimbabwe,1994,17645.604
Aruba,1995,1785.829
Andorra,1995,407.037
Afghanistan,1995,1268.782
Angola,1995,11012.001
Albania,1995,2086.523
United Arab Emirates,1995,70641.088
Argentina,1995,122547.473
Armenia,1995,3490.984
American Samoa,1995,
Antigua and Barbuda,1995,322.696
Australia,1995,307433.946
Austria,1995,60622.844
Azerbaijan,1995,33586.053
Burundi,1995,333.697
Belgium,1995,112976.603
Benin,1995,1327.454
Burkina Faso,1995,627.057
Bangladesh,1995,22816.074
Bulgaria,1995,59805.103
Bahrain,1995,16021.123
"Bahamas, The",1995,1730.824
Bosnia and Herzegovina,1995,3542.322
Belarus,1995,62118.98
Belize,1995,377.701
Bermuda,1995,465.709
Bolivia,1995,9424.19
Brazil,1995,275564.049
Barbados,1995,828.742
Brunei Darussalam,1995,5515.168
Bhutan,1995,249.356
Botswana,1995,3523.987
Central African Republic,1995,234.688
Canada,1995,459790.462
Switzerland,1995,39387.247
Channel Islands,1995,
Chile,1995,43611.631
China,1995,3320285.15
Cote d'Ivoire,1995,7132.315
Cameroon,1995,4363.73
"Congo, Rep.",1995,1565.809
Cook Islands,1995,22.002
Colombia,1995,59610.752
Comoros,1995,80.674
Cape Verde,1995,113.677
Costa Rica,1995,4866.109
Cuba,1995,25657.999
Curacao,1995,
Cayman Islands,1995,289.693
Cyprus,1995,5716.853
Czech Republic,1995,129470.769
Germany,1995,901524.616
Djibouti,1995,429.039
Dominica,1995,80.674
Denmark,1995,55298.36
Dominican Republic,1995,16105.464
Algeria,1995,94692.941
East Asia & Pacific,1995,4222032.11958068
Europe & Central Asia,1995,3001413.43266578
Ecuador,1995,22812.407
"Egypt, Arab Rep.",1995,95723.368
Euro area,1995,2647915.031
Eritrea,1995,297.027
Spain,1995,257229.049
Estonia,1995,16754.523
Ethiopia,1995,2152.529
Finland,1995,52328.09
Fiji,1995,887.414
France,1995,393289.417
Faeroe Islands,1995,634.391
"Micronesia, Fed. Sts.",1995,
Gabon,1995,3857.684
United Kingdom,1995,564523.649
Georgia,1995,2302.876
Ghana,1995,5427.16
Gibraltar,1995,348.365
Guinea,1995,1250.447
"Gambia, The",1995,216.353
Guinea-Bissau,1995,282.359
Equatorial Guinea,1995,132.012
Greece,1995,79185.198
Grenada,1995,172.349
Greenland,1995,506.046
Guatemala,1995,7165.318
Guam,1995,
Guyana,1995,1481.468
High income,1995,12327909.9118634
"Hong Kong SAR, China",1995,31620.541
Honduras,1995,3879.686
Croatia,1995,17612.601
Haiti,1995,942.419
Hungary,1995,60054.459
Indonesia,1995,224941.114
Isle of Man,1995,
India,1995,920046.633
Ireland,1995,32892.99
"Iran, Islamic Rep.",1995,284918.566
Iraq,1995,77901.748
Iceland,1995,1939.843
Israel,1995,54234.93
Italy,1995,437623.447
Jamaica,1995,9702.882
Jordan,1995,13556.899
Japan,1995,1184088.968
Kazakhstan,1995,166731.156
Kenya,1995,7554.02
Kyrgyz Republic,1995,4473.74
Cambodia,1995,1437.464
Kiribati,1995,22.002
St. Kitts and Nevis,1995,95.342
"Korea, Rep.",1995,370781.371
Kosovo,1995,
Kuwait,1995,50329.575
Latin America & Caribbean,1995,1129491.005
Lao PDR,1995,315.362
Lebanon,1995,13619.238
Liberia,1995,333.697
Libya,1995,45841.167
St. Lucia,1995,311.695
Low income,1995,346829.072507867
Liechtenstein,1995,
Sri Lanka,1995,5797.527
Lower middle income,1995,2321252.53241122
Low & middle income,1995,10597246.2159847
Lesotho,1995,
Lithuania,1995,16204.473
Luxembourg,1995,8349.759
Latvia,1995,9636.876
"Macao SAR, China",1995,1243.113
St. Martin (French part),1995,
Morocco,1995,30373.761
Monaco,1995,
Moldova,1995,11191.684
Madagascar,1995,1312.786
Maldives,1995,275.025
Mexico,1995,345178.377
Marshall Islands,1995,66.006
Middle income,1995,10250867.0677536
"Macedonia, FYR",1995,10839.652
Mali,1995,469.376
Malta,1995,2695.245
Myanmar,1995,6959.966
Middle East & North Africa,1995,736006.071175434
Montenegro,1995,
Mongolia,1995,7924.387
Northern Mariana Islands,1995,
Mozambique,1995,1111.101
Mauritania,1995,2984.938
Mauritius,1995,1829.833
Malawi,1995,729.733
Malaysia,1995,121132.011
Mayotte,1995,
Namibia,1995,1741.825
New Caledonia,1995,1730.824
Niger,1995,920.417
Nigeria,1995,34917.174
Nicaragua,1995,2838.258
Niue,1995,3.667
Netherlands,1995,176309.36
Norway,1995,32999.333
Nepal,1995,2035.185
Nauru,1995,139.346
New Zealand,1995,26904.779
Oman,1995,15933.115
Pakistan,1995,84484.013
Panama,1995,3472.649
Peru,1995,23883.171
Philippines,1995,63105.403
Palau,1995,113.677
Papua New Guinea,1995,2038.852
Poland,1995,346813.859
Puerto Rico,1995,
"Korea, Dem. Rep.",1995,259348.575
Portugal,1995,52394.096
Paraguay,1995,3964.027
French Polynesia,1995,583.053
Qatar,1995,30824.802
Romania,1995,128524.683
Russian Federation,1995,1692364.504
Rwanda,1995,612.389
South Asia,1995,1036972.595
Saudi Arabia,1995,234856.682
Sudan,1995,4602.085
Senegal,1995,3494.651
Singapore,1995,47109.949
Small island developing states,1995,183093.509152542
Solomon Islands,1995,161.348
Sierra Leone,1995,586.72
El Salvador,1995,5280.48
San Marino,1995,
Somalia,1995,11.001
Serbia,1995,
Sub-Saharan Africa,1995,490805.665205607
Sao Tome and Principe,1995,77.007
Suriname,1995,2181.865
Slovak Republic,1995,43508.955
Slovenia,1995,14513.986
Sweden,1995,53560.202
Swaziland,1995,454.708
Sint Maarten (Dutch part),1995,
Seychelles,1995,190.684
Syrian Arab Republic,1995,51558.02
Turks and Caicos Islands,1995,11.001
Chad,1995,102.676
Togo,1995,953.42
Thailand,1995,181461.495
Tajikistan,1995,2449.556
Turkmenistan,1995,34620.147
Timor-Leste,1995,
Tonga,1995,110.01
Trinidad and Tobago,1995,20967.906
Tunisia,1995,15735.097
Turkey,1995,176705.396
Tuvalu,1995,
Tanzania,1995,3553.323
Uganda,1995,957.087
Ukraine,1995,445943.87
Upper middle income,1995,7929610.83661834
Uruguay,1995,4591.084
United States,1995,5237968.469
Uzbekistan,1995,100912.173
St. Vincent and the Grenadines,1995,132.012
"Venezuela, RB",1995,133236.778
Virgin Islands (U.S.),1995,
Vietnam,1995,29247.992
Vanuatu,1995,66.006
West Bank and Gaza,1995,
World,1995,23401968.0
Samoa,1995,132.012
"Yemen, Rep.",1995,11250.356
South Africa,1995,353458.463
"Congo, Dem. Rep.",1995,2966.603
Zambia,1995,2170.864
Zimbabwe,1995,15130.042
Aruba,1996,1811.498
Andorra,1996,425.372
Afghanistan,1996,1199.109
Angola,1996,10491.287
Albania,1996,2016.85
United Arab Emirates,1996,41059.399
Argentina,1996,129217.746
Armenia,1996,2607.237
American Samoa,1996,
Antigua and Barbuda,1996,322.696
Australia,1996,329259.93
Austria,1996,61055.55
Azerbaijan,1996,31565.536
Burundi,1996,330.03
Belgium,1996,119624.874
Benin,1996,1265.115
Burkina Faso,1996,707.731
Bangladesh,1996,24029.851
Bulgaria,1996,56691.82
Bahrain,1996,15621.42
"Bahamas, The",1996,1730.824
Bosnia and Herzegovina,1996,5368.488
Belarus,1996,60157.135
Belize,1996,308.028
Bermuda,1996,476.71
Bolivia,1996,8734.794
Brazil,1996,301244.05
Barbados,1996,850.744
Brunei Darussalam,1996,5595.842
Bhutan,1996,304.361
Botswana,1996,3138.952
Central African Republic,1996,234.688
Canada,1996,467883.531
Switzerland,1996,40025.305
Channel Islands,1996,
Chile,1996,49526.502
China,1996,3463089.131
Cote d'Ivoire,1996,8379.095
Cameroon,1996,4602.085
"Congo, Rep.",1996,1716.156
Cook Islands,1996,22.002
Colombia,1996,60523.835
Comoros,1996,66.006
Cape Verde,1996,139.346
Costa Rica,1996,4748.765
Cuba,1996,26959.784
Curacao,1996,
Cayman Islands,1996,286.026
Cyprus,1996,5936.873
Czech Republic,1996,132558.383
Germany,1996,924014.327
Djibouti,1996,436.373
Dominica,1996,73.34
Denmark,1996,68704.912
Dominican Republic,1996,17546.595
Algeria,1996,96566.778
East Asia & Pacific,1996,4424809.18193978
Europe & Central Asia,1996,2929376.06845129
Ecuador,1996,23890.505
"Egypt, Arab Rep.",1996,102030.608
Euro area,1996,2703605.76
Eritrea,1996,348.365
Spain,1996,254328.452
Estonia,1996,18808.043
Ethiopia,1996,3729.339
Finland,1996,61385.58
Fiji,1996,920.417
France,1996,408126.099
Faeroe Islands,1996,652.726
"Micronesia, Fed. Sts.",1996,
Gabon,1996,3534.988
United Kingdom,1996,580680.451
Georgia,1996,4066.703
Ghana,1996,5757.19
Gibraltar,1996,194.351
Guinea,1996,1272.449
"Gambia, The",1996,216.353
Guinea-Bissau,1996,286.026
Equatorial Guinea,1996,117.344
Greece,1996,80395.308
Grenada,1996,176.016
Greenland,1996,517.047
Guatemala,1996,6651.938
Guam,1996,
Guyana,1996,1529.139
High income,1996,12637718.6326749
"Hong Kong SAR, China",1996,29365.336
Honduras,1996,3960.36
Croatia,1996,18518.35
Haiti,1996,1092.766
Hungary,1996,62702.033
Indonesia,1996,253290.691
Isle of Man,1996,
India,1996,1002224.103
Ireland,1996,35008.849
"Iran, Islamic Rep.",1996,286645.723
Iraq,1996,69500.651
Iceland,1996,2211.201
Israel,1996,54399.945
Italy,1996,428294.599
Jamaica,1996,10197.927
Jordan,1996,14187.623
Japan,1996,1205782.94
Kazakhstan,1996,140691.789
Kenya,1996,9328.848
Kyrgyz Republic,1996,5588.508
Cambodia,1996,1628.148
Kiribati,1996,36.67
St. Kitts and Nevis,1996,102.676
"Korea, Rep.",1996,401030.454
Kosovo,1996,
Kuwait,1996,47674.667
Latin America & Caribbean,1996,1173293.32
Lao PDR,1996,535.382
Lebanon,1996,13798.921
Liberia,1996,344.698
Libya,1996,41840.47
St. Lucia,1996,330.03
Low income,1996,351782.827869746
Liechtenstein,1996,
Sri Lanka,1996,6952.632
Lower middle income,1996,2424633.51819733
Low & middle income,1996,10886504.421498
Lesotho,1996,
Lithuania,1996,15731.43
Luxembourg,1996,8437.767
Latvia,1996,9548.868
"Macao SAR, China",1996,1415.462
St. Martin (French part),1996,
Morocco,1996,31195.169
Monaco,1996,
Moldova,1996,11521.714
Madagascar,1996,1411.795
Maldives,1996,319.029
Mexico,1996,354877.592
Marshall Islands,1996,66.006
Middle income,1996,10535179.7072834
"Macedonia, FYR",1996,11741.734
Mali,1996,487.711
Malta,1996,2966.603
Myanmar,1996,7256.993
Middle East & North Africa,1996,739326.537249281
Montenegro,1996,
Mongolia,1996,8041.731
Northern Mariana Islands,1996,
Mozambique,1996,1041.428
Mauritania,1996,2999.606
Mauritius,1996,1950.844
Malawi,1996,711.398
Malaysia,1996,125374.73
Mayotte,1996,
Namibia,1996,1906.84
New Caledonia,1996,1763.827
Niger,1996,1015.759
Nigeria,1996,40421.341
Nicaragua,1996,2926.266
Niue,1996,3.667
Netherlands,1996,186356.94
Norway,1996,33179.016
Nepal,1996,2486.226
Nauru,1996,139.346
New Zealand,1996,29702.7
Oman,1996,15225.384
Pakistan,1996,94447.252
Panama,1996,4880.777
Peru,1996,24363.548
Philippines,1996,65642.967
Palau,1996,117.344
Papua New Guinea,1996,2163.53
Poland,1996,358823.284
Puerto Rico,1996,
"Korea, Dem. Rep.",1996,256682.666
Portugal,1996,50886.959
Paraguay,1996,3751.341
French Polynesia,1996,557.384
Qatar,1996,31825.893
Romania,1996,127835.287
Russian Federation,1996,1668958.043
Rwanda,1996,630.724
South Asia,1996,1131962.563
Saudi Arabia,1996,258516.166
Sudan,1996,4268.388
Senegal,1996,3740.34
Singapore,1996,55305.694
Small island developing states,1996,198735.822560484
Solomon Islands,1996,161.348
Sierra Leone,1996,623.39
El Salvador,1996,4895.445
San Marino,1996,
Somalia,1996,
Serbia,1996,
Sub-Saharan Africa,1996,506057.189791885
Sao Tome and Principe,1996,77.007
Suriname,1996,2130.527
Slovak Republic,1996,42793.89
Slovenia,1996,15185.047
Sweden,1996,60549.504
Swaziland,1996,341.031
Sint Maarten (Dutch part),1996,
Seychelles,1996,198.018
Syrian Arab Republic,1996,51022.638
Turks and Caicos Islands,1996,11.001
Chad,1996,106.343
Togo,1996,1059.763
Thailand,1996,202711.76
Tajikistan,1996,2827.257
Turkmenistan,1996,31363.851
Timor-Leste,1996,
Tonga,1996,110.01
Trinidad and Tobago,1996,21781.98
Tunisia,1996,16758.19
Turkey,1996,192499.165
Tuvalu,1996,
Tanzania,1996,3461.648
Uganda,1996,1052.429
Ukraine,1996,412335.815
Upper middle income,1996,8110512.54966252
Uruguay,1996,5441.828
United States,1996,5343512.063
Uzbekistan,1996,103189.38
St. Vincent and the Grenadines,1996,135.679
"Venezuela, RB",1996,122752.825
Virgin Islands (U.S.),1996,
Vietnam,1996,34378.125
Vanuatu,1996,84.341
West Bank and Gaza,1996,
World,1996,23903936.0
Samoa,1996,132.012
"Yemen, Rep.",1996,14935.691
South Africa,1996,358639.934
"Congo, Dem. Rep.",1996,3248.962
Zambia,1996,1870.17
Zimbabwe,1996,14994.363
Aruba,1997,1851.835
Andorra,1997,458.375
Afghanistan,1997,1114.768
Angola,1997,7381.671
Albania,1997,1543.807
United Arab Emirates,1997,41646.119
Argentina,1997,134677.909
Armenia,1997,3278.298
American Samoa,1997,
Antigua and Barbuda,1997,337.364
Australia,1997,333623.66
Austria,1997,61359.911
Azerbaijan,1997,29966.724
Burundi,1997,315.362
Belgium,1997,116295.238
Benin,1997,1217.444
Burkina Faso,1997,806.74
Bangladesh,1997,25063.945
Bulgaria,1997,53681.213
Bahrain,1997,17319.241
"Bahamas, The",1997,1741.825
Bosnia and Herzegovina,1997,12500.803
Belarus,1997,59519.077
Belize,1997,388.702
Bermuda,1997,476.71
Bolivia,1997,9842.228
Brazil,1997,321199.864
Barbados,1997,902.082
Brunei Darussalam,1997,5812.195
Bhutan,1997,396.036
Botswana,1997,3212.292
Central African Republic,1997,245.689
Canada,1997,483233.593
Switzerland,1997,41580.113
Channel Islands,1997,
Chile,1997,57054.853
China,1997,3469510.048
Cote d'Ivoire,1997,8173.743
Cameroon,1997,3215.959
"Congo, Rep.",1997,2343.213
Cook Islands,1997,22.002
Colombia,1997,64905.9
Comoros,1997,66.006
Cape Verde,1997,143.013
Costa Rica,1997,4987.12
Cuba,1997,24605.57
Curacao,1997,
Cayman Islands,1997,286.026
Cyprus,1997,6109.222
Czech Republic,1997,130090.492
Germany,1997,900318.173
Djibouti,1997,440.04
Dominica,1997,80.674
Denmark,1997,57065.854
Dominican Republic,1997,18239.658
Algeria,1997,88195.017
East Asia & Pacific,1997,4464694.63907421
Europe & Central Asia,1997,2743439.33467356
Ecuador,1997,18276.328
"Egypt, Arab Rep.",1997,108202.169
Euro area,1997,2661160.235
Eritrea,1997,528.048
Spain,1997,264460.373
Estonia,1997,18613.692
Ethiopia,1997,4275.722
Finland,1997,60083.795
Fiji,1997,759.069
France,1997,379486.829
Faeroe Islands,1997,656.393
"Micronesia, Fed. Sts.",1997,
Gabon,1997,3545.989
United Kingdom,1997,554215.712
Georgia,1997,4437.07
Ghana,1997,6395.248
Gibraltar,1997,121.011
Guinea,1997,1279.783
"Gambia, The",1997,216.353
Guinea-Bissau,1997,308.028
Equatorial Guinea,1997,293.36
Greece,1997,84572.021
Grenada,1997,205.352
Greenland,1997,524.381
Guatemala,1997,7598.024
Guam,1997,
Guyana,1997,1602.479
High income,1997,12744117.4388426
"Hong Kong SAR, China",1997,30854.138
Honduras,1997,4158.378
Croatia,1997,19295.754
Haiti,1997,1422.796
Hungary,1997,61807.285
Indonesia,1997,278658.997
Isle of Man,1997,
India,1997,1043939.895
Ireland,1997,36552.656
"Iran, Islamic Rep.",1997,290617.084
Iraq,1997,68308.876
Iceland,1997,2104.858
Israel,1997,63402.43
Italy,1997,432302.63
Jamaica,1997,10630.633
Jordan,1997,14418.644
Japan,1997,1201778.576
Kazakhstan,1997,129580.779
Kenya,1997,8265.418
Kyrgyz Republic,1997,5482.165
Cambodia,1997,1906.84
Kiribati,1997,29.336
St. Kitts and Nevis,1997,102.676
"Korea, Rep.",1997,423175.467
Kosovo,1997,
Kuwait,1997,49361.487
Latin America & Caribbean,1997,1230476.518
Lao PDR,1997,718.732
Lebanon,1997,15647.089
Liberia,1997,355.699
Libya,1997,48598.751
St. Lucia,1997,311.695
Low income,1997,329805.365328848
Liechtenstein,1997,
Sri Lanka,1997,7506.349
Lower middle income,1997,2447826.5813247
Low & middle income,1997,10865869.8905659
Lesotho,1997,
Lithuania,1997,15339.061
Luxembourg,1997,7917.053
Latvia,1997,8437.767
"Macao SAR, China",1997,1499.803
St. Martin (French part),1997,
Morocco,1997,31862.563
Monaco,1997,
Moldova,1997,7099.312
Madagascar,1997,1701.488
Maldives,1997,366.7
Mexico,1997,361595.536
Marshall Islands,1997,66.006
Middle income,1997,10536502.4505372
"Macedonia, FYR",1997,10634.3
Mali,1997,524.381
Malta,1997,3241.628
Myanmar,1997,7499.015
Middle East & North Africa,1997,751419.638
Montenegro,1997,
Mongolia,1997,7711.701
Northern Mariana Islands,1997,
Mozambique,1997,1125.769
Mauritania,1997,2999.606
Mauritius,1997,1998.515
Malawi,1997,759.069
Malaysia,1997,124821.013
Mayotte,1997,
Namibia,1997,1903.173
New Caledonia,1997,1826.166
Niger,1997,1012.092
Nigeria,1997,40190.32
Nicaragua,1997,3135.285
Niue,1997,3.667
Netherlands,1997,178278.539
Norway,1997,34132.436
Nepal,1997,2783.253
Nauru,1997,139.346
New Zealand,1997,31063.157
Oman,1997,15595.751
Pakistan,1997,94711.276
Panama,1997,5958.875
Peru,1997,27407.158
Philippines,1997,77403.036
Palau,1997,117.344
Papua New Guinea,1997,2555.899
Poland,1997,351049.244
Puerto Rico,1997,
"Korea, Dem. Rep.",1997,234688.0
Portugal,1997,53376.852
Paraguay,1997,4195.048
French Polynesia,1997,575.719
Qatar,1997,36288.632
Romania,1997,115987.21
Russian Federation,1997,1577033.687
Rwanda,1997,652.726
South Asia,1997,1175882.222
Saudi Arabia,1997,216826.043
Sudan,1997,5419.826
Senegal,1997,3263.63
Singapore,1997,69240.294
Small island developing states,1997,213436.828612903
Solomon Islands,1997,161.348
Sierra Leone,1997,634.391
El Salvador,1997,5760.857
San Marino,1997,
Somalia,1997,
Serbia,1997,
Sub-Saharan Africa,1997,516327.116330597
Sao Tome and Principe,1997,77.007
Suriname,1997,2141.528
Slovak Republic,1997,41983.483
Slovenia,1997,16208.14
Sweden,1997,54513.622
Swaziland,1997,1202.776
Sint Maarten (Dutch part),1997,
Seychelles,1997,414.371
Syrian Arab Republic,1997,52295.087
Turks and Caicos Islands,1997,11.001
Chad,1997,113.677
Togo,1997,986.423
Thailand,1997,210064.095
Tajikistan,1997,2152.529
Turkmenistan,1997,29930.054
Timor-Leste,1997,
Tonga,1997,113.677
Trinidad and Tobago,1997,19229.748
Tunisia,1997,16945.207
Turkey,1997,202887.776
Tuvalu,1997,
Tanzania,1997,2882.262
Uganda,1997,1133.103
Ukraine,1997,341196.015
Upper middle income,1997,8088624.71390721
Uruguay,1997,5555.505
United States,1997,5501365.412
Uzbekistan,1997,101781.252
St. Vincent and the Grenadines,1997,135.679
"Venezuela, RB",1997,133962.844
Virgin Islands (U.S.),1997,
Vietnam,1997,45283.783
Vanuatu,1997,88.008
West Bank and Gaza,1997,414.371
World,1997,24361936.0
Samoa,1997,132.012
"Yemen, Rep.",1997,15474.74
South Africa,1997,371327.754
"Congo, Dem. Rep.",1997,2926.266
Zambia,1997,2390.884
Zimbabwe,1997,14407.643
Aruba,1998,1668.485
Andorra,1998,484.044
Afghanistan,1998,1056.096
Angola,1998,7308.331
Albania,1998,1752.826
United Arab Emirates,1998,81495.408
Argentina,1998,137673.848
Armenia,1998,3406.643
American Samoa,1998,
Antigua and Barbuda,1998,333.697
Australia,1998,346912.868
Austria,1998,63549.11
Azerbaijan,1998,31594.872
Burundi,1998,300.694
Belgium,1998,119184.834
Benin,1998,1213.777
Burkina Faso,1998,861.745
Bangladesh,1998,24040.852
Bulgaria,1998,50993.302
Bahrain,1998,18404.673
"Bahamas, The",1998,1793.163
Bosnia and Herzegovina,1998,16226.475
Belarus,1998,57597.569
Belize,1998,370.367
Bermuda,1998,462.042
Bolivia,1998,10326.272
Brazil,1998,314012.544
Barbados,1998,1140.437
Brunei Darussalam,1998,5984.544
Bhutan,1998,385.035
Botswana,1998,3832.015
Central African Republic,1998,249.356
Canada,1998,478880.864
Switzerland,1998,41913.81
Channel Islands,1998,
Chile,1998,58987.362
China,1998,3324344.519
Cote d'Ivoire,1998,6912.295
Cameroon,1998,3208.625
"Congo, Rep.",1998,777.404
Cook Islands,1998,22.002
Colombia,1998,65976.664
Comoros,1998,73.34
Cape Verde,1998,154.014
Costa Rica,1998,5317.15
Cuba,1998,24444.222
Curacao,1998,
Cayman Islands,1998,286.026
Cyprus,1998,6640.937
Czech Republic,1998,125525.077
Germany,1998,895532.738
Djibouti,1998,410.704
Dominica,1998,77.007
Denmark,1998,56068.43
Dominican Republic,1998,18683.365
Algeria,1998,107080.067
East Asia & Pacific,1998,4048977.4459849
Europe & Central Asia,1998,2665719.9830227
Ecuador,1998,22229.354
"Egypt, Arab Rep.",1998,122243.112
Euro area,1998,2712190.207
Eritrea,1998,590.387
Spain,1998,274683.969
Estonia,1998,17143.225
Ethiopia,1998,5027.457
Finland,1998,56988.847
Fiji,1998,729.733
France,1998,409094.187
Faeroe Islands,1998,663.727
"Micronesia, Fed. Sts.",1998,
Gabon,1998,1631.815
United Kingdom,1998,554138.705
Georgia,1998,4961.451
Ghana,1998,6409.916
Gibraltar,1998,311.695
Guinea,1998,1243.113
"Gambia, The",1998,234.688
Guinea-Bissau,1998,216.353
Equatorial Guinea,1998,168.682
Greece,1998,87809.982
Grenada,1998,190.684
Greenland,1998,531.715
Guatemala,1998,8753.129
Guam,1998,
Guyana,1998,1653.817
High income,1998,12658000.4687839
"Hong Kong SAR, China",1998,39233.233
Honduras,1998,4649.756
Croatia,1998,20417.856
Haiti,1998,1232.112
Hungary,1998,60853.865
Indonesia,1998,210210.775
Isle of Man,1998,
India,1998,1071911.771
Ireland,1998,38140.467
"Iran, Islamic Rep.",1998,316176.074
Iraq,1998,72371.912
Iceland,1998,2101.191
Israel,1998,62779.04
Italy,1998,441752.489
Jamaica,1998,9728.551
Jordan,1998,14543.322
Japan,1998,1159186.371
Kazakhstan,1998,125063.035
Kenya,1998,10036.579
Kyrgyz Republic,1998,5823.196
Cambodia,1998,2233.203
Kiribati,1998,33.003
St. Kitts and Nevis,1998,102.676
"Korea, Rep.",1998,363839.74
Kosovo,1998,
Kuwait,1998,51088.644
Latin America & Caribbean,1998,1280047.024
Lao PDR,1998,894.748
Lebanon,1998,16178.804
Liberia,1998,388.702
Libya,1998,48133.042
St. Lucia,1998,308.028
Low income,1998,161532.143103057
Liechtenstein,1998,
Sri Lanka,1998,7763.039
Lower middle income,1998,2433867.5755438
Low & middle income,1998,10519935.0568909
Lesotho,1998,
Lithuania,1998,16197.139
Luxembourg,1998,7356.002
Latvia,1998,7990.393
"Macao SAR, China",1998,1565.809
St. Martin (French part),1998,
Morocco,1998,32038.579
Monaco,1998,
Moldova,1998,6270.57
Madagascar,1998,1738.158
Maldives,1998,333.697
Mexico,1998,372167.497
Marshall Islands,1998,69.673
Middle income,1998,10358677.6501788
"Macedonia, FYR",1998,12625.481
Mali,1998,517.047
Malta,1998,2145.195
Myanmar,1998,8078.401
